PSOTIVOS: 
(('남북', 'NNG'), 2998)  Dos coreas
(('기사', 'NNG'), 39)
(('-2018', 'NR'), 39)
(('만남', 'NNG'), 38)
(('년', 'NNM'), 38)
(('집회', 'NNG'), 37)
(('온양', 'NNG'), 37)
(('지', 'NNG'), 36)
(('관련', 'NNG'), 36)
(('비난', 'NNG'), 35)
(('통화', 'NNG'), 35)
(('풀', 'NNG'), 35)
(('듯', 'NNB'), 34)
(('종전', 'NNG'), 34)
(('28', 'NR'), 34)
(('번영', 'NNG'), 34)
(('리', 'NNG'), 34)
(('민주당', 'NNG'), 34)
(('개', 'NNM'), 34)
(('대서특필', 'NNG'), 34)
(('조선', 'NNG'), 33)
(('손', 'NNG'), 33)
(('그', 'NP'), 32)
(('조', 'NNG'), 32)
(('단체', 'NNG'), 32)
(('속', 'NNG'), 32)
(('설주', 'NNG'), 32)
(('정부', 'NNG'), 32)
(('반응', 'NNG'), 32)
(('어처구니', 'NNG'), 31)
(('오', 'NNG'), 31)
(('4.27', 'NR'), 31)
(('핵', 'NNG'), 30)
(('번째', 'NNB'), 30)
(('대화', 'NNG'), 30)
(('날', 'NNG'), 30)
(('미', 'NNG'), 30)
(('노래', 'NNG'), 30)
(('발표', 'NNG'), 30)
(('게재', 'NNG'), 30)
(('파', 'NNG'), 29)
(('지지율', 'NNG'), 29)
(('무료', 'NNG'), 29)
(('버전', 'NNG'), 29)
(('자한', 'NNG'), 29)
(('공동', 'NNG'), 29)
(('민족', 'NNG'), 28)
(('아시아', 'NNG'), 28)
(('의미', 'NNG'), 28)
(('데', 'NNB'), 28)
(('시민', 'NNG'), 28)
(('여사', 'NNG'), 28)
(('문제', 'NNG'), 28)
(('의지', 'NNG'), 28)
(('60', 'NR'), 28)
(('여', 'NR'), 28)
(('제주', 'NNG'), 27)
(('시', 'NNM'), 27)
(('10', 'NR'), 27)
(('시간', 'NNG'), 27)
(('철수', 'NNG'), 27)
(('중계', 'NNG'), 27)
(('선', 'NNG'), 27)
(('하나', 'NR'), 26)
(('시사', 'NNG'), 26)
(('지금', 'NNG'), 26)
(('조사', 'NNG'), 26)
(('전술', 'NNG'), 26)
(('대표', 'NNG'), 26)
(('기대', 'NNG'), 26)
(('논평', 'NNG'), 26)
(('비디오', 'NNG'), 26)
(('미래', 'NNG'), 25)
(('이후', 'NNG'), 25)
(('기', 'NNG'), 25)
(('평가', 'NNG'), 25)
(('성과', 'NNG'), 25)
(('길', 'NNG'), 25)
(('글', 'NNG'), 25)
(('현장', 'NNG'), 25)
(('지지', 'NNG'), 25)
(('의원', 'NNG'), 25)
(('소년', 'NNG'), 25)
(('을', 'NNG'), 25)
(('고대', 'NNG'), 24)
(('집', 'NNG'), 24)
(('이', 'NNG'), 24)
(('뭐', 'NP'), 24)
(('마음', 'NNG'), 24)
(('관심', 'NNG'), 24)
(('서울', 'NNG'), 24)
(('반대', 'NNG'), 24)
(('촉구', 'NNG'), 24)
(('임진각', 'NNG'), 24)
(('성공적', 'NNG'), 23)
(('눈물', 'NNG'), 23)
(('시청률', 'NNG'), 23)
(('월', 'NNG'), 23)
(('아베', 'NNP'), 23)
(('이유', 'NNG'), 23)
(('정치', 'NNG'), 23)
(('권', 'NNG'), 23)
(('의', 'NNG'), 23)
(('베', 'NNG'), 23)
(('이행', 'NNG'), 23)
(('하루', 'NNG'), 23)
(('극찬', 'NNG'), 23)
(('데이', 'NNG'), 23)
(('연합', 'NNG'), 22)
(('마크', 'NNG'), 22)
(('프로젝트', 'NNG'), 22)
(('후원자', 'NNG'), 22)
(('군', 'NNB'), 22)
(('자유당', 'NNG'), 22)
(('차', 'NNM'), 22)
(('씨', 'NNB'), 22)
(('오피', 'NNG'), 22)
(('여', 'NNG'), 22)
(('조용필', 'NNG'), 22)
(('고향', 'NNG'), 21)
(('로고', 'NNG'), 21)
(('야당', 'NNG'), 21)
(('발', 'NNG'), 21)
(('뿐', 'NNB'), 21)
(('가지', 'NNM'), 21)
(('김정숙', 'NNG'), 21)
(('종합', 'NNG'), 21)
(('화이트', 'NNG'), 21)
(('현송', 'NNG'), 21)
(('웃음', 'NNG'), 21)
(('12', 'NR'), 20)
(('국무', 'NNG'), 20)
(('연출', 'NNG'), 20)
(('선거', 'NNG'), 20)
(('국가', 'NNG'), 20)
(('분위기', 'NNG'), 20)
(('응원', 'NNG'), 20)
(('공식화', 'NNG'), 20)
(('배포', 'NNG'), 20)
(('전문', 'NNG'), 20)
(('후보', 'NNG'), 19)
(('당신', 'NP'), 19)
(('노력', 'NNG'), 19)
(('설명', 'NNG'), 19)
(('소식', 'NNG'), 19)
(('문재', 'NNG'), 19)
(('밤', 'NNG'), 19)
(('태극기', 'NNG'), 19)
(('처음', 'NNG'), 19)
