(('회담', 'NNG'), 333)  Summit
(('관심', 'NNG'), 4)
(('인', 'NNG'), 4)
(('읍', 'NNG'), 4)
(('번', 'NNB'), 4)
(('하루', 'NNG'), 4)
(('사회', 'NNG'), 4)
(('신뢰', 'NNG'), 4)
(('시', 'NNM'), 4)
(('냉', 'NNG'), 4)
(('극우', 'NNG'), 4)
(('후보', 'NNG'), 4)
(('꺼', 'NNG'), 4)
(('준비', 'NNG'), 4)
(('등', 'NNB'), 4)
(('바', 'NNG'), 4)
(('곡', 'NNG'), 4)
(('잔치', 'NNG'), 4)
(('성', 'NNG'), 4)
(('약속', 'NNG'), 4)
(('지랄', 'NNG'), 4)
(('위반', 'NNG'), 4)
(('것', 'NNM'), 4)
(('선거구', 'NNG'), 4)
(('도의원', 'NNG'), 4)
(('지석', 'NNG'), 4)
(('환', 'NNG'), 4)
(('군사', 'NNG'), 4)
(('영장', 'NNG'), 4)
(('돈', 'NNG'), 4)
(('만남', 'NNG'), 3)
(('얼굴', 'NNG'), 3)
(('계층', 'NNG'), 3)
(('고양시', 'NNP'), 3)
(('협위', 'NNG'), 3)
(('원장', 'NNG'), 3)
(('윤', 'NNG'), 3)
(('후기', 'NNG'), 3)
(('연예', 'NNG'), 3)
(('자기', 'NNG'), 3)
(('주장', 'NNG'), 3)
(('이미지', 'NNG'), 3)
(('새소리', 'NNG'), 3)
(('북측', 'NNG'), 3)
(('이', 'NP'), 3)
(('측근', 'NNG'), 3)
(('러시아', 'NNG'), 3)
(('조', 'NR'), 3)
(('원', 'NNM'), 3)
(('100', 'NR'), 3)
(('연결', 'NNG'), 3)
(('유럽', 'NNG'), 3)
(('30', 'NR'), 3)
(('단독', 'NNG'), 3)
(('반도', 'NNG'), 3)
(('역할', 'NNG'), 3)
(('반복', 'NNG'), 3)
(('한마디', 'NNG'), 3)
(('앞', 'NNG'), 3)
(('복잡', 'NNG'), 3)
(('여행', 'NNG'), 3)
(('합작', 'NNG'), 3)
(('병', 'NNG'), 3)
(('논', 'NNG'), 3)
(('11', 'NR'), 3)
(('악', 'NNG'), 3)
(('전략적', 'NNG'), 3)
(('시민', 'NNG'), 3)
(('대로', 'NNB'), 3)
(('입장', 'NNG'), 3)
(('간', 'NNB'), 3)
(('착륙', 'NNG'), 3)
(('세계인', 'NNG'), 3)
