(('회담', 'NNG'), 333)  Summit
(('초등학생', 'NNG'), 1)
(('제가', 'NNG'), 1)
(('허위', 'NNG'), 1)
(('선관위', 'NNG'), 1)
(('합', 'NNG'), 1)
(('구적', 'NNG'), 1)
(('처단', 'NNG'), 1)
(('혈세', 'NNG'), 1)
(('50', 'NR'), 1)
(('70', 'NR'), 1)
(('년대', 'NNM'), 1)
(('인재', 'NNG'), 1)
(('고추', 'NNG'), 1)
(('심각', 'NNG'), 1)
(('경수', 'NNG'), 1)
(('용서', 'NNG'), 1)
(('마세', 'NNG'), 1)
(('위원', 'NNG'), 1)
(('틈', 'NNG'), 1)
(('출두', 'NNG'), 1)
(('꼼수', 'NNG'), 1)
(('배아', 'NNG'), 1)
(('시합', 'NNG'), 1)
(('오프닝', 'NNG'), 1)
(('일인', 'NNG'), 1)
(('조웰', 'NNP'), 1)
(('혹자', 'NNG'), 1)
(('홍보', 'NNG'), 1)
(('말미', 'NNG'), 1)
(('겉', 'NNG'), 1)
(('위', 'NNG'), 1)
(('56', 'NR'), 1)
(('분계선', 'NNG'), 1)
(('부근', 'NNG'), 1)
(('거주', 'NNG'), 1)
(('38', 'NR'), 1)
(('무언가', 'NNG'), 1)
(('독자', 'NNG'), 1)
(('지면', 'NNG'), 1)
(('균형', 'NNG'), 1)
(('가치', 'NNG'), 1)
(('모기장', 'NNG'), 1)
(('의', 'NNG'), 1)
(('제자리', 'NNG'), 1)
(('진전', 'NNG'), 1)
(('믿음', 'NNG'), 1)
(('돌', 'NNG'), 1)
(('건배', 'NNG'), 1)
(('한가마', 'NNG'), 1)
(('울음', 'NNG'), 1)
(('계관', 'NNG'), 1)
(('영제', 'NNG'), 1)
(('인용', 'NNG'), 1)
(('어머니', 'NNG'), 1)
(('몫', 'NNG'), 1)
(('단', 'NNG'), 1)
(('한가지', 'NNG'), 1)
(('소망', 'NNG'), 1)
(('회담장', 'NNG'), 1)
(('산운', 'NNG'), 1)
(('작가', 'NNG'), 1)
(('녘', 'NNB'), 1)
(('화폭', 'NNG'), 1)
(('갱', 'NNG'), 1)
(('지역구', 'NNG'), 1)
(('페이스', 'NNG'), 1)
(('네티즌', 'NNG'), 1)
(('철회', 'NNG'), 1)
(('불만', 'NNG'), 1)
(('목소리', 'NNG'), 1)
(('무관심', 'NNG'), 1)
(('모임', 'NNG'), 1)
(('지속적', 'NNG'), 1)
(('정점', 'NNG'), 1)
(('사절', 'NNG'), 1)
(('채팅', 'NNG'), 1)
(('생전', 'NNG'), 1)
(('상상', 'NNG'), 1)
(('우리나라', 'NNG'), 1)
(('발언', 'NNG'), 1)
(('남의', 'NNG'), 1)
(('일본도', 'NNG'), 1)
(('태도', 'NNG'), 1)
(('취급', 'NNG'), 1)
(('남침', 'NNG'), 1)
(('야욕', 'NNG'), 1)
(('적화', 'NNG'), 1)
(('속셈', 'NNG'), 1)
(('북괴', 'NNG'), 1)
(('두목', 'NNG'), 1)
(('수작', 'NNG'), 1)
(('벌이', 'NNG'), 1)
(('침략', 'NNG'), 1)
(('골백번', 'NNG'), 1)
(('상', 'NNG'), 1)
(('상납', 'NNG'), 1)
(('조공', 'NNG'), 1)
(('수십', 'NR'), 1)
(('판', 'NNB'), 1)
(('회의록', 'NNG'), 1)
(('담판', 'NNG'), 1)
(('누군가', 'NP'), 1)
(('삼아', 'NNP'), 1)
(('작품', 'NNG'), 1)
(('출처', 'NNG'), 1)
(('네이버', 'NNP'), 1)
(('2007', 'NR'), 1)
(('서울대', 'NNG'), 1)
(('간호사', 'NNG'), 1)
(('긴장', 'NNG'), 1)
(('파견', 'NNG'), 1)
(('가게', 'NNG'), 1)
(('시립', 'NNG'), 1)
(('보라매', 'NNG'), 1)
(('위탁', 'NNG'), 1)
(('운영', 'NNG'), 1)
(('스케일', 'NNG'), 1)
(('원리', 'NNG'), 1)
(('문신', 'NNG'), 1)
(('무대', 'NNG'), 1)
(('참전', 'NNG'), 1)
(('용사', 'NNG'), 1)
(('모순', 'NNG'), 1)
(('괴리감', 'NNG'), 1)
(('감격', 'NNG'), 1)
(('성형', 'NNG'), 1)
(('자금', 'NNG'), 1)
(('사학', 'NNG'), 1)
(('검증', 'NNG'), 1)
(('주라', 'NNG'), 1)
(('존', 'NNP'), 1)
(('절도', 'NNG'), 1)
(('언론인', 'NNG'), 1)
(('이름', 'NNG'), 1)
